name_with_owner,stars,created_at,updated_at,pull_requests,total_releases,primary_language,open_issues,closed_issues,percentual
pyg-team/pytorch_geometric,19713,2017-10-06,2024-03-06,2491,37,Python,793,2570,76.41986321736545
google/eng-practices,19697,2019-09-04,2024-03-06,8,0,,5,7,58.333333333333336
TeamStuQ/skill-map,19659,2015-11-17,2024-03-06,42,2,HTML,67,19,22.093023255813954
afollestad/material-dialogs,19656,2014-11-03,2024-03-06,179,92,Kotlin,0,0,0.0
lewagon/dotfiles,19634,2014-04-04,2024-03-06,46,0,Shell,1,22,95.65217391304348
grpc/grpc-go,19609,2014-12-08,2024-03-06,3787,134,Go,119,2330,95.14087382605145
zzzgydi/clash-verge,19574,2021-12-04,2024-03-06,50,54,TypeScript,234,567,70.78651685393258
sebastianbergmann/phpunit,19540,2009-12-24,2024-03-06,899,0,PHP,104,3501,97.11511789181692
getcursor/cursor,19531,2023-03-12,2024-03-06,46,0,,527,690,56.69679539852095
ScoopInstaller/Scoop,19512,2013-05-11,2024-03-06,2206,8,PowerShell,215,2572,92.28561176892717
hashcat/hashcat,19501,2015-12-04,2024-03-06,1768,24,C,262,1729,86.8407835258664
vueComponent/ant-design-vue,19359,2017-09-20,2024-03-06,1068,198,Vue,205,5250,96.24197983501375
movie-web/movie-web,19350,2021-07-13,2024-03-06,332,50,TypeScript,98,436,81.64794007490637
apache/shardingsphere,19292,2016-01-18,2024-03-06,18131,55,Java,953,9722,91.07259953161592
valeriansaliou/sonic,19257,2019-02-26,2024-03-06,43,33,Rust,59,202,77.39463601532567
keycloak/keycloak,19252,2013-07-02,2024-03-06,12123,53,Java,1788,7283,80.28883254326976
brettwooldridge/HikariCP,19240,2013-10-08,2024-03-06,228,0,Java,463,1298,73.70812038614424
pulumi/pulumi,19221,2016-10-31,2024-03-06,6295,233,Go,1921,4916,71.90288138072253
suno-ai/bark,30850,2023-04-07,2024-03-06,19,0,Jupyter Notebook,166,224,57.43589743589743
bigskysoftware/htmx,30804,2020-04-13,2024-03-06,662,17,JavaScript,404,715,63.896336014298484
TheAlgorithms/JavaScript,30764,2017-07-13,2024-03-06,766,0,JavaScript,2,188,98.94736842105263
hasura/graphql-engine,30723,2018-06-18,2024-03-06,2109,249,TypeScript,2051,3845,65.21370420624152
beego/beego,30709,2012-02-29,2024-03-06,1254,28,Go,7,3304,99.78858350951374
ccxt/ccxt,30704,2017-05-14,2024-03-06,10126,1,Python,793,8807,91.73958333333333
gofiber/fiber,30684,2020-01-16,2024-03-06,1358,117,Go,70,1238,94.64831804281346
certbot/certbot,30674,2014-11-12,2024-03-06,3732,50,Python,222,5040,95.78107183580387
solidjs/solid,30632,2018-04-24,2024-03-06,333,34,TypeScript,63,846,93.06930693069307
streamlit/streamlit,30566,2019-08-24,2024-03-06,3512,73,Python,732,3226,81.50581101566448
alebcay/awesome-shell,30525,2014-07-07,2024-03-06,307,0,,35,21,37.5
mqyqingfeng/Blog,30298,2017-03-13,2024-03-06,3,0,,216,98,31.210191082802545
Binaryify/NeteaseCloudMusicApi,30253,2016-06-22,2024-03-06,292,137,,147,1190,89.00523560209425
ray-project/ray,30219,2016-10-25,2024-03-06,21247,79,Python,3087,13802,81.72183077742909
sqlmapproject/sqlmap,30098,2012-06-26,2024-03-06,161,9,Python,49,5070,99.04278179331901
ziadoz/awesome-php,30084,2013-11-26,2024-03-06,419,0,,1,130,99.23664122137404
ReactiveX/rxjs,30008,2015-03-15,2024-03-06,2584,2,TypeScript,213,2925,93.21223709369025
alibaba/p3c,30006,2017-06-23,2024-03-06,62,0,Kotlin,151,697,82.19339622641509
lib-pku/libpku,29974,2018-11-22,2024-03-06,22,0,TeX,10,31,75.60975609756098
karpathy/nanoGPT,29961,2022-12-28,2024-03-06,42,0,Python,179,89,33.2089552238806
amix/vimrc,29939,2012-05-29,2024-03-06,107,0,Vim Script,1,507,99.80314960629921
joshbuchea/HEAD,29839,2016-04-20,2024-03-06,86,0,,20,73,78.49462365591397
Chanzhaoyu/chatgpt-web,29774,2023-02-09,2024-03-06,154,43,Vue,12,1686,99.29328621908127
vuejs/vue-cli,29752,2015-12-26,2024-03-06,1258,177,JavaScript,928,4551,83.06260266471985
swc-project/swc,29656,2017-12-22,2024-03-06,4409,404,Rust,302,2909,90.59483027094363
yewstack/yew,29638,2017-12-16,2024-03-06,1673,35,MDX,110,1107,90.96138044371405
foundation/foundation-sites,29600,2011-10-13,2024-03-06,2950,78,HTML,68,8143,99.17184265010351
localsend/localsend,29574,2022-12-16,2024-03-06,343,16,Dart,301,331,52.37341772151899
niklasvh/html2canvas,29565,2011-07-16,2024-03-06,186,45,TypeScript,898,1649,64.74283470749901
saadeghi/daisyui,29540,2020-11-28,2024-03-06,253,21,Svelte,59,1410,95.98366235534377
airbnb/lottie-web,29505,2015-02-20,2024-03-06,128,0,JavaScript,704,2113,75.00887468938588
ibraheemdev/modern-unix,29416,2021-01-12,2024-03-06,10,0,,63,15,19.230769230769234
termux/termux-app,29416,2015-10-23,2024-03-06,141,89,Java,306,2217,87.87158145065398
hashicorp/vault,29386,2015-02-25,2024-03-06,16881,130,Go,994,4908,83.15825144018977
ariya/phantomjs,29382,2010-12-27,2024-03-06,562,0,C++,14,4731,99.70495258166491
pcottle/learnGitBranching,29377,2012-08-13,2024-03-06,552,0,JavaScript,25,437,94.58874458874459
react-boilerplate/react-boilerplate,29338,2015-02-18,2024-03-06,715,16,JavaScript,78,1822,95.89473684210526
Asabeneh/30-Days-Of-Python,29325,2019-11-19,2024-03-06,42,0,Python,30,67,69.0721649484536
nushell/nushell,29313,2019-05-10,2024-03-06,5845,87,Rust,1217,3763,75.56224899598394
colinhacks/zod,29275,2020-03-07,2024-03-06,390,79,TypeScript,299,1413,82.53504672897196
geekcomputers/Python,29267,2011-11-30,2024-03-06,1375,0,Python,249,126,33.6
microsoft/AI-For-Beginners,29238,2021-03-03,2024-03-06,101,0,Jupyter Notebook,27,70,72.16494845360825
0xAX/linux-insides,29237,2015-01-03,2024-03-06,572,0,Python,28,151,84.35754189944134
ziglang/zig,29223,2015-08-06,2024-03-06,7153,15,Zig,2672,7450,73.60205492985577
lukehoban/es6features,29199,2014-03-03,2024-03-06,41,0,,21,36,63.1578947368421
CSSEGISandData/COVID-19,29191,2020-02-04,2024-03-05,2152,0,,1680,2079,55.3072625698324
elsewhencode/project-guidelines,29158,2017-06-30,2024-03-05,113,0,JavaScript,9,29,76.31578947368422
symfony/symfony,29135,2010-01-04,2024-03-06,21798,486,PHP,565,19119,97.12964844543792
zsh-users/zsh-autosuggestions,29109,2013-10-26,2024-03-06,112,0,Shell,128,445,77.66143106457243
vercel/swr,29063,2019-10-28,2024-03-06,744,111,TypeScript,72,790,91.64733178654292
square/leakcanary,29060,2015-04-29,2024-03-06,891,35,Kotlin,81,1488,94.83747609942638
IanLunn/Hover,29031,2014-01-02,2024-03-06,23,10,SCSS,24,83,77.57009345794393
reworkd/AgentGPT,29002,2023-04-07,2024-03-06,537,12,TypeScript,112,332,74.77477477477478
huggingface/pytorch-image-models,28992,2019-02-02,2024-03-06,314,55,Python,71,771,91.56769596199526
SeleniumHQ/selenium,28943,2013-01-14,2024-03-06,1826,91,Java,122,9814,98.77214170692432
sequelize/sequelize,28934,2010-07-22,2024-03-06,4638,472,JavaScript,816,9426,92.03280609256005
run-llama/llama_index,28895,2022-11-02,2024-03-06,3505,325,Python,480,2528,84.04255319148936
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,28866,2015-03-28,2024-03-06,97,0,JavaScript,8,21,72.41379310344827
aosabook/500lines,28852,2013-11-04,2024-03-06,175,0,JavaScript,31,39,55.714285714285715
facebookresearch/fairseq,28839,2017-08-29,2024-03-06,226,16,Python,1078,3036,73.79679144385027
logseq/logseq,28815,2020-05-23,2024-03-06,2871,145,Clojure,1506,5829,79.4683026584867
webtorrent/webtorrent,28795,2013-10-15,2024-03-06,839,164,JavaScript,72,1534,95.51681195516812
jellyfin/jellyfin,28785,2018-12-09,2024-03-06,3746,66,C#,413,5110,92.52217997465145
cockroachdb/cockroach,28746,2014-02-06,2024-03-06,52945,0,Go,4660,55511,92.25540542786392
ehang-io/nps,28744,2018-11-04,2024-03-06,74,59,Go,458,695,60.277536860364265
helix-editor/helix,28662,2020-06-01,2024-03-06,3153,24,Rust,830,3032,78.50854479544279
alibaba/nacos,28656,2018-06-15,2024-03-06,2622,62,Java,227,7733,97.14824120603015
geekan/HowToLiveLonger,28656,2022-04-16,2024-03-06,13,0,,24,101,80.80000000000001
layui/layui,28634,2015-09-22,2024-03-06,392,117,JavaScript,20,722,97.30458221024259
Ryujinx/Ryujinx,28631,2018-02-04,2024-03-06,2800,0,C#,693,2110,75.2764894755619
microsoft/calculator,28602,2019-01-28,2024-03-06,822,0,C++,307,686,69.08358509566969
ggerganov/whisper.cpp,28593,2022-09-25,2024-03-06,434,13,C,474,552,53.80116959064327
jqlang/jq,28551,2012-07-18,2024-03-06,507,13,C,353,1801,83.61188486536676
qishibo/AnotherRedisDesktopManager,28526,2019-01-08,2024-03-06,136,47,JavaScript,224,701,75.78378378378379
shengxinjing/programmer-job-blacklist,28458,2016-06-25,2024-03-06,28,0,Shell,151,183,54.79041916167665
toeverything/AFFiNE,28450,2022-07-31,2024-03-06,3396,235,TypeScript,241,1486,86.04516502605675
tatsu-lab/stanford_alpaca,28446,2023-03-10,2024-03-06,6,0,Python,166,97,36.88212927756654
tastejs/todomvc,28416,2011-06-03,2024-03-06,753,6,JavaScript,118,656,84.75452196382429
coolsnowwolf/lede,28404,2017-09-06,2024-03-06,1879,6,C,666,7557,91.90076614374317
explosion/spaCy,28394,2014-07-03,2024-03-06,3531,122,Python,82,5479,98.52544506383744
kodecocodes/swift-algorithm-club,28364,2016-01-26,2024-03-06,608,0,Swift,31,183,85.51401869158879
spacedriveapp/spacedrive,28357,2021-09-27,2024-03-06,1462,11,TypeScript,54,308,85.0828729281768
vuejs/vuex,28335,2015-07-16,2024-03-06,655,51,JavaScript,94,1166,92.53968253968254
codepath/android_guides,28249,2013-06-19,2024-03-06,10,0,,160,219,57.78364116094987
herrbischoff/awesome-macos-command-line,28238,2015-09-22,2024-03-06,104,0,,0,0,0.0
kenwheeler/slick,28218,2014-03-24,2024-03-06,238,48,JavaScript,1201,2391,66.56458797327394
VincentGarreau/particles.js,28200,2014-09-06,2024-03-06,21,6,JavaScript,298,105,26.054590570719604
trailofbits/algo,28170,2016-05-15,2024-03-06,523,2,Jinja,164,1416,89.62025316455696
composer/composer,28145,2011-06-08,2024-03-06,2765,193,PHP,132,7443,98.25742574257426
parallax/jsPDF,28132,2009-12-06,2024-03-06,700,32,JavaScript,131,2319,94.6530612244898
floating-ui/floating-ui,28121,2016-03-29,2024-03-06,947,401,TypeScript,4,1270,99.68602825745683
kubernetes/minikube,28113,2016-04-15,2024-03-06,7406,145,Go,880,8272,90.38461538461539
postcss/postcss,28100,2013-09-24,2024-03-06,720,247,TypeScript,19,941,98.02083333333333
jashkenas/backbone,28078,2010-09-30,2024-03-05,878,0,JavaScript,38,2367,98.41995841995842
labstack/echo,28070,2015-03-01,2024-03-06,554,103,Go,52,1340,96.26436781609196
caolan/async,28046,2010-06-01,2024-03-06,507,7,JavaScript,7,1114,99.37555753791257
karanpratapsingh/system-design,28014,2022-08-15,2024-03-06,11,0,,3,16,84.21052631578947
AMAI-GmbH/AI-Expert-Roadmap,28009,2020-10-24,2024-03-06,13,0,JavaScript,17,46,73.01587301587301
zed-industries/zed,27978,2021-02-20,2024-03-06,3911,426,Rust,1490,2640,63.922518159806295
OAI/OpenAPI-Specification,27962,2014-03-03,2024-03-06,860,10,JavaScript,353,1798,83.58902835890284
PostgREST/postgrest,21890,2014-06-13,2024-03-06,1107,44,Haskell,216,1413,86.74033149171271
sunface/rust-course,21880,2018-08-07,2024-03-06,686,0,Rust,45,136,75.13812154696133
wsargent/docker-cheat-sheet,21874,2014-08-05,2024-03-06,134,0,,5,22,81.48148148148148
google/flatbuffers,21845,2014-05-19,2024-03-06,1829,35,C++,111,2228,95.25438221462164
alibaba/Sentinel,21825,2018-04-04,2024-03-06,487,24,Java,602,1597,72.62391996361983
go-delve/delve,21800,2014-05-20,2024-03-06,1653,29,Go,95,1533,94.16461916461917
google/iosched,21799,2014-04-01,2024-03-06,66,2,Kotlin,55,187,77.27272727272727
MustangYM/WeChatExtension-ForMac,21791,2019-04-25,2024-03-06,45,49,Objective-C,871,860,49.682264586943965
philc/vimium,21788,2009-09-20,2024-03-06,618,0,JavaScript,1089,2247,67.35611510791367
shieldfy/API-Security-Checklist,21788,2017-07-08,2024-03-06,118,0,,12,30,71.42857142857143
abhisheknaiidu/awesome-github-profile-readme,21747,2020-07-12,2024-03-06,219,0,,43,54,55.670103092783506
chenglou/react-motion,21634,2015-06-11,2024-03-06,144,4,JavaScript,149,249,62.562814070351756
FlowiseAI/Flowise,21552,2023-03-31,2024-03-06,499,29,TypeScript,335,401,54.483695652173914
vbenjs/vue-vben-admin,21550,2020-07-11,2024-03-06,793,23,TypeScript,317,1866,85.47869903802106
framer/motion,21524,2018-11-16,2024-03-06,795,0,TypeScript,142,1335,90.38591740013541
livewire/livewire,21497,2019-02-12,2024-03-06,1315,215,PHP,0,1552,100.0
lobehub/lobe-chat,21476,2023-05-21,2024-03-06,418,453,TypeScript,168,562,76.98630136986301
nrwl/nx,21474,2017-08-11,2024-03-06,10370,666,TypeScript,795,8417,91.36995223621363
openai-translator/openai-translator,21469,2023-03-04,2024-03-06,404,139,TypeScript,352,307,46.58573596358118
tornadoweb/tornado,21458,2009-09-09,2024-03-06,936,0,Python,190,1618,89.49115044247787
forem/forem,21438,2016-11-13,2024-03-06,12677,0,Ruby,583,4993,89.5444763271162
ruby/ruby,21370,2010-02-27,2024-03-06,6280,32,Ruby,0,0,0.0
wailsapp/wails,21348,2018-12-15,2024-03-06,1101,211,Go,232,1327,85.11866581141757
zhaoolee/ChromeAppHeroes,21329,2019-02-07,2024-03-06,9,0,JavaScript,16,31,65.95744680851064
dotnet/maui,21316,2020-05-08,2024-03-06,5923,65,C#,3263,7967,70.94390026714159
jitsi/jitsi-meet,21296,2013-12-16,2024-03-06,7073,61,TypeScript,118,5918,98.04506295559973
AtsushiSakai/PythonRobotics,21210,2016-03-21,2024-03-06,554,0,Python,13,327,96.17647058823529
facert/awesome-spider,21164,2016-09-30,2024-03-06,38,0,,27,15,35.714285714285715
jhipster/generator-jhipster,21150,2013-10-21,2024-03-06,16059,32,TypeScript,107,7516,98.5963531418077
arendst/Tasmota,21134,2017-01-28,2024-03-06,5320,105,C,11,9398,99.88309065788076
eligrey/FileSaver.js,21119,2011-07-15,2024-03-06,67,14,JavaScript,173,467,72.96875
git-tips/tips,21115,2015-07-15,2024-03-06,139,0,JavaScript,17,17,50.0
d2l-ai/d2l-en,21087,2018-10-09,2024-03-06,1821,15,Python,85,196,69.7508896797153
openai/CLIP,21064,2020-12-16,2024-03-06,27,0,Jupyter Notebook,185,184,49.86449864498645
microsoft/vcpkg,21052,2016-09-15,2024-03-06,15445,45,CMake,976,15775,94.17348218016835
ruanyf/es6tutorial,21046,2014-04-20,2024-03-05,370,0,JavaScript,0,559,100.0
XTLS/Xray-core,21023,2020-11-09,2024-03-06,532,46,Go,474,1395,74.63884430176564
paularmstrong/normalizr,20976,2014-08-20,2024-03-06,98,26,JavaScript,0,0,0.0
SwiftGGTeam/the-swift-programming-language-in-chinese,20971,2014-06-03,2024-03-06,714,1,CSS,4,410,99.03381642512076
luong-komorebi/Awesome-Linux-Software,20894,2016-08-06,2024-03-06,575,0,Python,8,125,93.98496240601504
gorilla/websocket,20879,2013-10-16,2024-03-06,145,9,Go,42,575,93.19286871961103
invoke-ai/InvokeAI,20843,2022-08-17,2024-03-06,2298,59,TypeScript,408,2157,84.09356725146199
gpakosz/.tmux,20842,2012-08-23,2024-03-06,10,0,,29,618,95.5177743431221
valyala/fasthttp,20814,2015-10-18,2024-03-06,506,58,Go,70,942,93.08300395256917
openai/gpt-2,20777,2019-02-11,2024-03-06,18,0,Python,123,131,51.574803149606296
HarisIqbal88/PlotNeuralNet,20774,2018-07-24,2024-03-06,11,2,TeX,63,53,45.689655172413794
drduh/macOS-Security-and-Privacy-Guide,20752,2015-08-31,2024-03-06,149,0,Python,2,251,99.2094861660079
Seldaek/monolog,20740,2011-02-17,2024-03-06,683,67,PHP,32,769,96.00499375780275
apache/mxnet,20696,2015-04-30,2024-03-06,8838,34,C++,1805,7758,81.12516992575551
mouredev/Hello-Python,20675,2022-08-03,2024-03-06,0,0,Python,7,14,66.66666666666666
the1812/Bilibili-Evolved,20662,2018-07-16,2024-03-06,325,150,TypeScript,393,2220,84.95981630309988
deepinsight/insightface,20642,2017-09-01,2024-03-06,79,1,Python,1027,1353,56.84873949579832
seaweedfs/seaweedfs,20638,2014-07-14,2024-03-06,1900,243,Go,276,2326,89.39277478862412
IceWhaleTech/CasaOS,20637,2021-09-26,2024-03-06,248,88,Go,344,769,69.09254267744835
uber-go/zap,20632,2016-02-18,2024-03-06,536,38,Go,103,518,83.41384863123994
koekeishiya/yabai,20589,2019-05-04,2024-03-06,8,75,C,151,1656,91.64360819037078
parse-community/parse-server,20577,2016-01-28,2024-03-06,3390,326,JavaScript,359,4114,91.97406662195394
MLEveryday/100-Days-Of-ML-Code,20538,2018-08-05,2024-03-06,46,0,Jupyter Notebook,12,41,77.35849056603774
hapijs/joi,20523,2012-09-16,2024-03-06,458,0,JavaScript,153,2181,93.44473007712082
valinet/ExplorerPatcher,20427,2021-08-09,2024-03-06,11,259,C,128,1307,91.0801393728223
WeNeedHome/SummaryOfLoanSuspension,20425,2022-07-12,2024-03-06,285,0,HTML,0,0,0.0
Meituan-Dianping/mpvue,20423,2018-03-07,2024-03-06,64,19,JavaScript,419,1271,75.20710059171599
phoenixframework/phoenix,20422,2014-01-20,2024-03-06,2464,20,Elixir,10,2448,99.59316517493897
fastai/fastbook,20390,2020-02-28,2024-03-06,207,2,Jupyter Notebook,92,139,60.17316017316018
apache/rocketmq,20332,2016-11-30,2024-03-06,2138,18,Java,281,3599,92.75773195876289
futurice/android-best-practices,20324,2014-07-29,2024-03-05,80,0,,25,63,71.5909090909091
palantir/blueprint,20324,2016-10-25,2024-03-05,2950,111,TypeScript,642,2409,78.95771878072763
react-dnd/react-dnd,20319,2014-10-19,2024-03-06,1394,138,TypeScript,411,1294,75.89442815249267
kamranahmedse/driver.js,20263,2018-03-11,2024-03-06,53,15,TypeScript,40,255,86.4406779661017
nikitavoloboev/config,20218,2016-03-04,2024-03-06,17,0,Shell,0,73,100.0
svg/svgo,20216,2012-08-22,2024-03-06,509,58,JavaScript,180,1025,85.06224066390041
plotly/dash,20216,2015-04-10,2024-03-06,766,68,Python,781,869,52.666666666666664
chriskiehl/Gooey,20212,2014-01-01,2024-03-06,149,9,Python,130,463,78.07757166947724
enaqx/awesome-pentest,20190,2014-08-03,2024-03-06,335,0,,14,23,62.16216216216216
nostalgic-css/NES.css,20185,2018-09-24,2024-03-06,222,7,SCSS,37,140,79.09604519774011
BradLarson/GPUImage,20157,2012-02-13,2024-03-05,241,3,Objective-C,908,1312,59.09909909909909
cloudcommunity/Free-Certifications,20155,2020-07-31,2024-03-06,106,0,,31,38,55.072463768115945
Budibase/budibase,20075,2019-06-07,2024-03-06,3806,385,TypeScript,415,3785,90.11904761904762
verekia/js-stack-from-scratch,20060,2016-10-02,2024-03-04,55,1,JavaScript,40,118,74.68354430379746
spmallick/learnopencv,20046,2015-02-17,2024-03-06,485,0,Jupyter Notebook,214,91,29.836065573770494
asdf-vm/asdf,19976,2014-11-29,2024-03-06,662,12,Shell,142,645,81.95679796696315
gorilla/mux,19950,2012-10-02,2024-03-06,187,15,Go,16,414,96.27906976744185
dgraph-io/dgraph,19941,2015-08-25,2024-03-06,4749,110,Go,213,2334,91.63722025912838
